freq,unit,geo\TIME_PERIOD	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 	2025 
A,THS_PER,EE	19.1 e	15.3 be	19.1 e	22.1 e	24.1 e	22.8 e	23.2 e	20.8 b	23.3 	25.7 	24.5 	26.5 	32.8 e	34.2 	35.6 	38.2 	40.3 e	40.1 b	44.5 	46.5 e	50.6 e	47.5 e
A,THS_PER,EL	122.6 be	123.1 be	124.8 e	128.7 e	127.5 e	127.5 be	128.4 e	71.9 be	68.5 e	69.7 e	59.6 e	56.9 e	66.1 e	75.3 e	84.4 e	78.9 e	78.9 e	93.4 b	103.1 	100.5 	107.2 	110.4 
A,THS_PER,ES	511.8 e	552.5 be	594.6 be	637.1 e	639.8 e	611.6 e	631.2 e	579.7 be	562.0 e	558.7 e	562.8 e	571.2 e	616.9 e	657.8 e	698.1 e	733.7 e	745.1 e	805.0 bd	880.4 d	935.9 d	1022.6 d	1060.9 d
A,THS_PER,EU27_2020	5633.3 e	6054.5 be	6368.3 e	6560.5 e	6727.9 e	6740.7 e	6768.0 e	5681.3 be	5940.3 e	6148.3 e	6334.5 e	6555.0 e	6919.5 e	7181.2 e	7570.4 e	7880.4 e	8442.4 e	8920.3 be	9370.1 e	9749.5 e	10189.9 e	10450.8 e
A,THS_PER,FI	123.4 e	130.4 be	135.4 e	138.8 be	138.0 be	136.1 e	140.4 e	141.5 b	151.3 	155.8 	153.0 	155.9 	160.6 	166.0 	169.3 	174.5 	191.5 	188.0 b	197.9 	200.7 	204.0 	202.3 
A,THS_PER,FR	972.1 e	1009.8 be	1047.2 be	1006.1 e	1021.5 e	1041.8 e	1045.6 e	697.7 be	686.0 e	768.5 b	853.4 b	906.7 	968.7 	1017.9 	1061.2 	1131.6 	1218.9 	1238.8 bd	1215.5 d	1349.0 d	1394.9 d	1427.8 d
A,THS_PER,HR	25.9 e	29.1 be	31.2 be	36.7 be	41.2 e	41.1 e	37.7 e	38.3 be	39.4 e	39.6 e	42.7 e	43.2 e	52.4 	51.3 e	54.1 e	51.5 e	57.6 e	57.8 be	61.2 e	69.9 e	83.4 e	82.7 e
A,THS_PER,HU	170.6 e	162.5 be	168.5 e	168.2 e	169.8 e	157.8 e	160.8 e	102.0 b	123.5 	136.8 	144.2 	152.6 	158.1 	157.7 	165.3 b	151.0 	168.3 e	180.9 be	193.9 e	198.4 e	211.1 e	212.5 e
A,THS_PER,IE	68.3 e	67.9 be	69.0 e	77.1 be	77.1 e	76.2 e	77.4 e	88.8 be	89.7 e	91.6 e	94.4 e	94.9 e	104.6 e	108.5 be	107.0 e	112.6 e	129.4 e	153.0 be	162.1 e	166.7 e	173.5 e	172.4 e
A,THS_PER,IS	: 	: 	: 	: 	: 	: 	: 	6.1 be	5.7 e	6.7 e	7.3 e	8.0 e	8.6 e	9.1 e	8.6 e	8.6 e	9.1 be	7.8 be	8.9 e	9.7 e	9.6 e	: 
A,THS_PER,IT	649.2 be	665.1 be	698.4 e	704.0 e	721.4 e	735.7 e	713.4 e	677.5 be	706.2 e	717.9 e	725.3 e	731.1 e	760.0 e	773.6 e	816.5 be	815.5 e	817.1 e	848.6 be	898.2 e	970.4 e	945.4 e	904.8 e
A,THS_PER,LT	25.6 e	22.4 bu	20.1 u	24.8 	27.3 	24.1 	22.7 	23.0 be	24.3 	23.5 e	23.0 	28.0 e	34.1 	36.9 	37.5 	41.9 e	44.5 	52.2 b	61.7 	70.6 e	77.6 	83.1 
A,THS_PER,LU	7.3 e	8.1 be	6.5 e	7.4 be	9.7 e	9.9 b	10.2 	9.7 b	11.8 	11.3 	12.6 	12.8 b	13.4 	14.1 	16.6 e	17.7 e	18.5 	20.5 b	23.9 	25.8 	26.0 	28.5 
A,THS_PER,LV	27.1 e	29.2 be	27.4 e	28.0 e	29.0 e	24.5 e	23.6 e	21.5 be	19.3 e	21.6 e	22.4 e	24.4 e	24.1 e	25.2 e	23.0 e	28.0 e	32.3 e	32.7 b	39.2 	39.2 	43.1 	39.7 
A,THS_PER,ME	: 	: 	: 	: 	: 	: 	: 	3.5 be	3.8 e	4.3 e	5.0 e	5.3 e	4.7 e	5.3 e	4.5 e	4.5 e	5.4 e	: 	: 	: 	: 	: 
A,THS_PER,MK	: 	: 	: 	: 	: 	: 	: 	8.6 b	8.5 	8.8 	10.3 e	12.3 	12.8 e	11.8 	12.0 	15.1 	18.4 e	19.0 b	23.0 	24.0 	23.1 e	22.4 
A,THS_PER,MT	7.8 be	7.2 be	6.1 e	9.1 	8.7 e	7.5 e	7.6 	5.7 be	5.9 e	6.1 	6.8 	7.5 	8.2 e	9.4 	11.4 	11.6 	11.3 e	12.6 be	14.3 	14.3 	16.7 	15.8 
