A,0-9,C10-S951_X_K,E_AI_BLE,PC_ENT_AI_EC,ES	84.01 	82.18 	77.40 	79.13 
A,0-9,C10-S951_X_K,E_AI_BLE,PC_ENT_AI_EC,PT	67.44 	66.99 	72.20 	: 
A,0-9,C10-S951_X_K,E_AI_BLE,PC_ENT_AI_TX,ES	1.74 	1.95 	2.95 	5.39 
A,0-9,C10-S951_X_K,E_AI_BLE,PC_ENT_AI_TX,PT	1.84 	2.30 	4.63 	: 
A,0-9,C10-S951_X_K,E_AI_BLE,PC_ENT_IUSE,ES	1.66 	1.85 	2.74 	4.70 
A,0-9,C10-S951_X_K,E_AI_BLE,PC_ENT_IUSE,PT	1.76 	2.24 	4.42 	: 
A,0-9,C10-S951_X_K,E_AI_BLEG,PC_ENT,ES	1.02 	1.11 	1.72 	2.64 
A,0-9,C10-S951_X_K,E_AI_BLEG,PC_ENT,PT	1.18 	1.58 	3.67 	: 
A,0-9,C10-S951_X_K,E_AI_BLEG,PC_ENT_AI_EC,ES	63.41 	58.97 	59.37 	56.46 
A,0-9,C10-S951_X_K,E_AI_BLEG,PC_ENT_AI_EC,PT	53.68 	53.83 	69.22 	: 
A,0-9,C10-S951_X_K,E_AI_BLEG,PC_ENT_AI_TX,ES	1.31 	1.40 	2.26 	3.84 
A,0-9,C10-S951_X_K,E_AI_BLEG,PC_ENT_AI_TX,PT	1.46 	1.85 	4.44 	: 
A,0-9,C10-S951_X_K,E_AI_BLEG,PC_ENT_IUSE,ES	1.26 	1.32 	2.10 	3.35 
A,0-9,C10-S951_X_K,E_AI_BLEG,PC_ENT_IUSE,PT	1.40 	1.80 	4.23 	: 
A,0-9,C10-S951_X_K,E_AI_BNU,PC_ENT,ES	0.53 	0.30 	0.48 	0.93 
A,0-9,C10-S951_X_K,E_AI_BNU,PC_ENT,PT	0.68 	0.89 	1.24 	: 
A,0-9,C10-S951_X_K,E_AI_BNU,PC_ENT_AI_EC,ES	33.07 	16.11 	16.57 	19.82 
A,0-9,C10-S951_X_K,E_AI_BNU,PC_ENT_AI_EC,PT	31.01 	30.20 	23.34 	: 
A,0-9,C10-S951_X_K,E_AI_BNU,PC_ENT_AI_TX,ES	0.68 	0.38 	0.63 	1.35 
A,0-9,C10-S951_X_K,E_AI_BNU,PC_ENT_AI_TX,PT	0.85 	1.04 	1.50 	: 
A,0-9,C10-S951_X_K,E_AI_BNU,PC_ENT_IUSE,ES	0.65 	0.36 	0.59 	1.18 
A,0-9,C10-S951_X_K,E_AI_BNU,PC_ENT_IUSE,PT	0.81 	1.01 	1.43 	: 
A,0-9,C10-S951_X_K,E_AI_CC,PC_ENT,ES	: 	1.26 	2.41 	3.59 
A,0-9,C10-S951_X_K,E_AI_CC,PC_ENT,PT	: 	1.34 	: 	: 
A,0-9,C10-S951_X_K,E_AI_CC,PC_ENT_IUSE,ES	: 	1.51 	2.95 	4.56 
A,0-9,C10-S951_X_K,E_AI_CC,PC_ENT_IUSE,PT	: 	1.53 	: 	: 
A,0-9,C10-S951_X_K,E_AI_CC1SIX_DA,PC_ENT,ES	: 	0.85 	0.92 	1.90 
A,0-9,C10-S951_X_K,E_AI_CC1SIX_DA,PC_ENT,PT	: 	0.67 	: 	: 
A,0-9,C10-S951_X_K,E_AI_CC1SIX_DA,PC_ENT_IUSE,ES	: 	1.02 	1.13 	2.41 
A,0-9,C10-S951_X_K,E_AI_CC1SIX_DA,PC_ENT_IUSE,PT	: 	0.76 	: 	: 
A,0-9,C10-S951_X_K,E_AI_CC1SIX_DAX,PC_ENT,ES	: 	2.52 	2.55 	5.47 
A,0-9,C10-S951_X_K,E_AI_CC1SIX_DAX,PC_ENT,PT	: 	0.56 	: 	: 
A,0-9,C10-S951_X_K,E_AI_CC1SIX_DAX,PC_ENT_IUSE,ES	: 	3.01 	3.13 	6.94 
A,0-9,C10-S951_X_K,E_AI_CC1SIX_DAX,PC_ENT_IUSE,PT	: 	0.64 	: 	: 
A,0-9,C10-S951_X_K,E_AI_CC1SI_DA,PC_ENT,ES	: 	0.52 	0.87 	1.26 
A,0-9,C10-S951_X_K,E_AI_CC1SI_DA,PC_ENT,PT	: 	0.79 	: 	: 
A,0-9,C10-S951_X_K,E_AI_CC1SI_DA,PC_ENT_IUSE,ES	: 	0.62 	1.06 	1.60 
A,0-9,C10-S951_X_K,E_AI_CC1SI_DA,PC_ENT_IUSE,PT	: 	0.90 	: 	: 
A,0-9,C10-S951_X_K,E_AI_CC1SI_DASANY,PC_ENT,DE	: 	25.59 	: 	: 
A,0-9,C10-S951_X_K,E_AI_CC1SI_DASANY,PC_ENT,ES	: 	13.01 	14.05 	17.94 
A,0-9,C10-S951_X_K,E_AI_CC1SI_DASANY,PC_ENT,PT	: 	22.44 	: 	: 
A,0-9,C10-S951_X_K,E_AI_CC1SI_DASANY,PC_ENT_IUSE,DE	: 	26.05 	: 	: 
A,0-9,C10-S951_X_K,E_AI_CC1SI_DASANY,PC_ENT_IUSE,ES	: 	15.58 	17.23 	22.76 
A,0-9,C10-S951_X_K,E_AI_CC1SI_DASANY,PC_ENT_IUSE,PT	: 	25.57 	: 	: 
A,0-9,C10-S951_X_K,E_AI_CC1SI_DASANY2,PC_ENT,DE	: 	25.59 	: 	: 
A,0-9,C10-S951_X_K,E_AI_CC1SI_DASANY2,PC_ENT,ES	: 	11.30 	12.66 	16.38 
A,0-9,C10-S951_X_K,E_AI_CC1SI_DASANY2,PC_ENT,PT	: 	19.98 	: 	: 
A,0-9,C10-S951_X_K,E_AI_CC1SI_DASANY2,PC_ENT_IUSE,DE	: 	26.05 	: 	: 
A,0-9,C10-S951_X_K,E_AI_CC1SI_DASANY2,PC_ENT_IUSE,ES	: 	13.53 	15.51 	20.78 
A,0-9,C10-S951_X_K,E_AI_CC1SI_DASANY2,PC_ENT_IUSE,PT	: 	22.77 	: 	: 
A,0-9,C10-S951_X_K,E_AI_CC1SI_DASGE3,PC_ENT,DE	: 	25.59 	: 	: 
A,0-9,C10-S951_X_K,E_AI_CC1SI_DASGE3,PC_ENT,ES	: 	11.01 	12.70 	16.40 
A,0-9,C10-S951_X_K,E_AI_CC1SI_DASGE3,PC_ENT,PT	: 	19.48 	: 	: 
A,0-9,C10-S951_X_K,E_AI_CC1SI_DASGE3,PC_ENT_IUSE,DE	: 	26.05 	: 	: 
A,0-9,C10-S951_X_K,E_AI_CC1SI_DASGE3,PC_ENT_IUSE,ES	: 	13.18 	15.56 	20.81 
A,0-9,C10-S951_X_K,E_AI_CC1SI_DASGE3,PC_ENT_IUSE,PT	: 	22.20 	: 	: 
A,0-9,C10-S951_X_K,E_AI_CC1SI_DAX,PC_ENT,ES	: 	0.63 	1.37 	1.45 
A,0-9,C10-S951_X_K,E_AI_CC1SI_DAX,PC_ENT,PT	: 	0.40 	: 	: 
A,0-9,C10-S951_X_K,E_AI_CC1SI_DAX,PC_ENT_IUSE,ES	: 	0.75 	1.68 	1.84 
A,0-9,C10-S951_X_K,E_AI_CC1SI_DAX,PC_ENT_IUSE,PT	: 	0.45 	: 	: 
A,0-9,C10-S951_X_K,E_AI_CC1SI_DA_ANY,PC_ENT,DE	: 	25.59 	: 	: 
A,0-9,C10-S951_X_K,E_AI_CC1SI_DA_ANY,PC_ENT,ES	: 	15.45 	17.21 	21.05 
A,0-9,C10-S951_X_K,E_AI_CC1SI_DA_ANY,PC_ENT,PT	: 	30.21 	: 	: 
A,0-9,C10-S951_X_K,E_AI_CC1SI_DA_ANY,PC_ENT_IUSE,DE	: 	26.05 	: 	: 
A,0-9,C10-S951_X_K,E_AI_CC1SI_DA_ANY,PC_ENT_IUSE,ES	: 	18.50 	21.10 	26.71 
A,0-9,C10-S951_X_K,E_AI_CC1SI_DA_ANY,PC_ENT_IUSE,PT	: 	34.42 	: 	: 
A,0-9,C10-S951_X_K,E_AI_DA,PC_ENT,ES	: 	1.37 	1.79 	3.16 
A,0-9,C10-S951_X_K,E_AI_DA,PC_ENT,PT	: 	1.46 	: 	: 
A,0-9,C10-S951_X_K,E_AI_DA,PC_ENT_IUSE,ES	: 	1.64 	2.20 	4.01 
A,0-9,C10-S951_X_K,E_AI_DA,PC_ENT_IUSE,PT	: 	1.67 	: 	: 
A,0-9,C10-S951_X_K,E_AI_EC,PC_ENT,ES	1.61 	1.88 	2.89 	4.68 
A,0-9,C10-S951_X_K,E_AI_EC,PC_ENT,PT	2.20 	2.93 	5.30 	: 
A,0-9,C10-S951_X_K,E_AI_EC,PC_ENT_AI_TX,ES	2.07 	2.37 	3.81 	6.81 
A,0-9,C10-S951_X_K,E_AI_EC,PC_ENT_AI_TX,PT	2.72 	3.43 	6.41 	: 
A,0-9,C10-S951_X_K,E_AI_EC,PC_ENT_IUSE,ES	1.98 	2.25 	3.54 	5.94 
A,0-9,C10-S951_X_K,E_AI_EC,PC_ENT_IUSE,PT	2.61 	3.34 	6.12 	: 
A,0-9,C10-S951_X_K,E_AI_P1ANY,PC_ENT,ES	: 	2.18 	2.88 	4.76 
A,0-9,C10-S951_X_K,E_AI_P1ANY,PC_ENT,PT	: 	2.22 	3.31 	: 
A,0-9,C10-S951_X_K,E_AI_P1ANY,PC_ENT_AI_TANY,ES	: 	48.16 	50.31 	47.19 
A,0-9,C10-S951_X_K,E_AI_P1ANY,PC_ENT_AI_TANY,PT	: 	91.44 	82.29 	: 
A,0-9,C10-S951_X_K,E_AI_P1ANY,PC_ENT_IUSE,ES	: 	2.61 	3.52 	6.04 
A,0-9,C10-S951_X_K,E_AI_P1ANY,PC_ENT_IUSE,PT	: 	2.52 	3.82 	: 
A,0-9,C10-S951_X_K,E_AI_P1GE2,PC_ENT,ES	: 	1.06 	1.26 	2.24 
A,0-9,C10-S951_X_K,E_AI_P1GE2,PC_ENT,PT	: 	0.94 	1.28 	: 
A,0-9,C10-S951_X_K,E_AI_P1GE2,PC_ENT_AI_TANY,ES	: 	23.52 	22.01 	22.22 
A,0-9,C10-S951_X_K,E_AI_P1GE2,PC_ENT_AI_TANY,PT	: 	38.88 	31.79 	: 
A,0-9,C10-S951_X_K,E_AI_P1GE2,PC_ENT_IUSE,ES	: 	1.27 	1.54 	2.84 
A,0-9,C10-S951_X_K,E_AI_P1GE2,PC_ENT_IUSE,PT	: 	1.07 	1.48 	: 
A,0-9,C10-S951_X_K,E_AI_P1GE3,PC_ENT,ES	: 	0.56 	0.53 	1.12 
A,0-9,C10-S951_X_K,E_AI_P1GE3,PC_ENT,PT	: 	0.45 	0.52 	: 
A,0-9,C10-S951_X_K,E_AI_P1GE3,PC_ENT_AI_TANY,ES	: 	12.31 	9.22 	11.12 
A,0-9,C10-S951_X_K,E_AI_P1GE3,PC_ENT_AI_TANY,PT	: 	18.67 	12.90 	: 
A,0-9,C10-S951_X_K,E_AI_P1GE3,PC_ENT_IUSE,ES	: 	0.67 	0.65 	1.42 
A,0-9,C10-S951_X_K,E_AI_P1GE3,PC_ENT_IUSE,PT	: 	0.52 	0.60 	: 
A,0-9,C10-S951_X_K,E_AI_PBA,PC_ENT,ES	0.60 	: 	: 	: 
A,0-9,C10-S951_X_K,E_AI_PBA,PC_ENT,PT	1.44 	: 	: 	: 
A,0-9,C10-S951_X_K,E_AI_PBA,PC_ENT_AI_TANY,ES	17.67 	: 	: 	: 
A,0-9,C10-S951_X_K,E_AI_PBA,PC_ENT_AI_TANY,PT	39.23 	: 	: 	: 
A,0-9,C10-S951_X_K,E_AI_PBA,PC_ENT_IUSE,ES	0.74 	: 	: 	: 
A,0-9,C10-S951_X_K,E_AI_PBA,PC_ENT_IUSE,PT	1.70 	: 	: 	: 
A,0-9,C10-S951_X_K,E_AI_PBAM,PC_ENT,ES	: 	0.99 	0.84 	1.84 
A,0-9,C10-S951_X_K,E_AI_PBAM,PC_ENT,PT	: 	0.80 	0.88 	: 
A,0-9,C10-S951_X_K,E_AI_PBAM,PC_ENT_AI_TANY,ES	: 	21.95 	14.70 	18.30 
A,0-9,C10-S951_X_K,E_AI_PBAM,PC_ENT_AI_TANY,PT	: 	32.88 	21.75 	: 
A,0-9,C10-S951_X_K,E_AI_PBAM,PC_ENT_IUSE,ES	: 	1.19 	1.03 	2.34 
A,0-9,C10-S951_X_K,E_AI_PBAM,PC_ENT_IUSE,PT	: 	0.91 	1.01 	: 
A,0-9,C10-S951_X_K,E_AI_PDI,PC_ENT,ES	: 	: 	0.11 	: 
A,0-9,C10-S951_X_K,E_AI_PDI,PC_ENT,PT	: 	: 	0.13 	: 
A,0-9,C10-S951_X_K,E_AI_PDI,PC_ENT_AI_TANY,ES	: 	: 	1.90 	: 
A,0-9,C10-S951_X_K,E_AI_PDI,PC_ENT_AI_TANY,PT	: 	: 	3.26 	: 
A,0-9,C10-S951_X_K,E_AI_PFIN,PC_ENT,ES	: 	0.86 	0.50 	1.48 
A,0-9,C10-S951_X_K,E_AI_PFIN,PC_ENT,PT	: 	1.07 	1.18 	: 
A,0-9,C10-S951_X_K,E_AI_PFIN,PC_ENT_AI_TANY,ES	: 	19.01 	8.74 	14.69 
A,0-9,C10-S951_X_K,E_AI_PFIN,PC_ENT_AI_TANY,PT	: 	44.23 	29.29 	: 
A,0-9,C10-S951_X_K,E_AI_PFIN,PC_ENT_IUSE,ES	: 	1.03 	0.61 	1.88 
A,0-9,C10-S951_X_K,E_AI_PFIN,PC_ENT_IUSE,PT	: 	1.22 	1.36 	: 
A,0-9,C10-S951_X_K,E_AI_PHR,PC_ENT,ES	0.13 	: 	: 	: 
A,0-9,C10-S951_X_K,E_AI_PHR,PC_ENT,PT	0.16 	: 	: 	: 
